,title,date,url,pred
0,"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced","Wed, 19 Apr 2023 12:44:51 GMT",https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,others
1,Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell,,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,politics
2,Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory,"Mon, 17 Apr 2023 16:01:11 GMT",https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,others
3,Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',"Wed, 19 Apr 2023 08:28:17 GMT",https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,uplifting / positive
4,'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,"Tue, 18 Apr 2023 21:17:44 GMT",https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,others
5,Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,"Tue, 18 Apr 2023 20:34:45 GMT",https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,others
6,White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,"Wed, 19 Apr 2023 04:29:05 GMT",https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,others
7,Newly released video shows scene of Jeremy Renner's snowplow accident,"Tue, 18 Apr 2023 14:09:43 GMT",https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,natural disaster
8,Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,"Tue, 18 Apr 2023 14:40:32 GMT",https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,others
9,"Toddler crawls through White House fence, prompts Secret Service response","Tue, 18 Apr 2023 17:38:16 GMT",https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,others
10,Jamie Foxx remains hospitalized nearly a week after 'medical complication',"Tue, 18 Apr 2023 00:27:07 GMT",https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,others
11,A 13-year-old dies after participating in a Benadryl TikTok 'challenge',"Wed, 19 Apr 2023 15:01:06 GMT",https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,others
12,See pizza delivery guy take out suspect fleeing police,"Tue, 18 Apr 2023 16:40:22 GMT",https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,uplifting / positive
13,Netflix is winding down its DVD business after 25 years,"Tue, 18 Apr 2023 20:10:51 GMT",https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,others
14,FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams,"Tue, 18 Apr 2023 17:59:38 GMT",https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,others
